mean_1_point,mean_2_point,vars_1_point,vars_2_point,prsn_point,sprm_point
7.4871,7.4965,7.398433589999861,7.496187749999924,-0.19857866365200616,-0.19244157317845745
7.5434,7.561,7.6081164400003765,7.537678999999714,0.7962101204278856,0.7848722724720782
7.4964,7.5085,7.635787039999281,7.492527750000237,0.5905853976502086,0.5785846397805526
7.4851,7.5371,7.578777989999896,7.450623590000276,0.20545181526445153,0.19368528275649116
7.458,7.5235,7.466035999999843,7.585847750000026,-0.20236819195160693,-0.19750314331179758
7.5618,7.5591,7.58418076000004,7.4323071899998165,0.7875876282692749,0.7780295607728257
7.5095,7.4946,7.40850975000104,7.59457084000028,-0.2107460886120452,-0.20675031446231618
7.4701,7.4789,7.391905989999795,7.515754790000031,0.7854848921875646,0.7725323665310782
7.5004,7.4943,7.577599840000024,7.726167509999982,0.7929339301380687,0.7780757842233624
7.4939,7.5109,7.403362790000088,7.376481190000124,0.5879458108474866,0.5694105384563962
7.5337,7.5217,7.549064310000456,7.587729110000204,0.5944037500661756,0.5807713166010353
7.5001,7.4968,7.519599990000041,7.57378976000018,0.7880255857280027,0.7737117847416256
7.5055,7.515,7.5881697499997465,7.411774999999767,0.1961432852454611,0.19096231503725303
7.5054,7.5114,7.614570840000367,7.685470039999885,0.4164789718951113,0.39704389574598553
7.4937,7.5035,7.3423603099996955,7.688187749999922,-0.19940386150144623,-0.1960612023863088
7.5136,7.5139,7.515215039999725,7.410806789999904,0.7895747699613413,0.7771670865975541
7.5104,7.4821,7.698491840000288,7.318879590000141,0.19144435644592372,0.18029607673427805
7.4826,7.5434,7.5214972399999125,7.333716440000402,-0.19249256249551916,-0.18307249778514068
7.529,7.4726,7.361959000000126,7.398049240000249,0.3709757799234188,0.36081466848588833
7.488,7.5197,7.4364559999998905,7.563611909999792,0.5976969564001701,0.5833308956550142
7.4702,7.4965,7.364511960000495,7.416387749999938,0.3908102409224561,0.37448043022458627
7.4797,7.5055,7.346987910000412,7.412569749999748,0.7873771213378009,0.7751846338614566
7.4983,7.5136,7.458997110000027,7.488215039999732,0.7832476377224601,0.7696538170668882
7.4355,7.4472,7.4824397500000694,7.537012159999808,0.7916911590497004,0.7788071312295476
7.4491,7.4653,7.351809189999946,7.4931959099999865,-0.19403584487681141,-0.18739660697373736
7.468,7.5002,7.370976000000001,7.457399959999889,-0.18961179309361315,-0.18339356603496854
7.5181,7.5267,7.527872389999982,7.460087109999869,0.7824116012720461,0.7655449341854773
7.5622,7.4725,7.492331159999927,7.522443749999886,0.388359649866062,0.37413031099013905
7.5362,7.5022,7.567689560000335,7.358795159999881,0.2017846629592061,0.19767640213615142
7.4715,7.4829,7.315787750000032,7.522707589999984,0.192762362463692,0.18515827576615296
