mean_1_point,mean_2_point,vars_1_point,vars_2_point,prsn_point,sprm_point
1.1607,1.1477,11.055675510001569,15.984084710001287,0.52852974019442,0.406462698371155
1.084,1.1415,9.511743999999045,11.549477749998402,0.06212205069145943,0.09119529286445104
1.1479,1.1963,8.749225590000203,18.08356630999975,0.30746790856959616,0.31706551435898284
1.147,1.134,11.743990999999266,11.431844000002156,0.6051681063625818,0.4042444080846659
1.1353,1.1793,9.058393910000575,11.285151509999068,0.05732968843037458,0.07242587337171674
1.0673,1.1187,9.619770709999461,10.828610309999556,0.048422155199104956,0.10846677768104578
1.112,1.1215,10.098655999999211,8.584537749999635,0.1704773087275057,0.18903940830362145
1.0988,1.1351,8.259638559999997,12.045447990002385,0.17950258687661716,0.1952312885097094
1.1479,1.1814,12.608225590002364,14.109894040001954,0.14474277782344536,0.18774010801187258
1.1046,1.1838,7.9880588400001145,10.910617560001551,-0.037354109415429576,-0.09286815562087004
1.1008,1.1078,12.35303935999909,7.761579159999967,0.04998411009906112,0.09695686728937951
1.0992,1.1398,9.074959360000317,10.832055959998744,0.2818485008437537,0.298494215949827
1.0955,1.0861,9.148779749999948,9.032886789999017,0.24612957242480415,0.20187992699565005
1.1677,1.0916,13.749976709999135,8.135409440001103,0.1430287104134772,0.17840017657072188
1.1679,1.1199,22.286709589998395,8.818323989999973,0.2864668196498512,0.3016583287180484
1.0516,1.1781,9.924537439999364,10.808780390000358,-0.04503039007325031,-0.08513841956020486
1.1737,1.1662,14.789328310000615,15.406777559999323,0.06379845523428104,0.10191328530944152
1.1221,1.1532,11.292991589998609,12.443929760002142,0.5347921668088682,0.4144773647884483
1.1048,1.139,11.53361696000144,13.130279000001508,0.5931403593428088,0.4100991311923805
1.1362,1.1685,9.57884956000036,12.156907749996984,0.29551498903050816,0.2934575356591462
1.0699,1.1678,9.628813989999223,17.955443160000883,0.06731216206267387,0.07907156218696429
1.1238,1.1081,9.366673560000374,9.715814390000798,0.12653688765615595,0.1874892587741476
1.1234,1.1797,8.862972440000469,10.35280790999934,-0.034708847330877306,-0.08886808348141965
1.063,1.128,8.826831000000194,15.37061600000042,0.4423914310854517,0.41539800715608827
1.1254,1.1047,9.918674839999387,9.634537909999931,0.07423304385177396,0.1048283448144796
1.1436,1.1736,12.59537904000181,14.88406303999912,0.10400034639132412,0.19004345924183155
1.1416,1.1751,10.771349439998943,13.004039990000818,0.08463811838916341,0.10677228025764975
1.1459,1.1303,14.445213189999603,11.343121909999722,0.4540347054452653,0.4116656854772513
1.0542,1.1506,7.658862360000849,10.213119639999922,0.19489907714156335,0.2202298432366153
1.1198,1.0879,10.519647960001471,7.296773589999501,-0.046720553847996865,-0.08436732902321203
