,training_time,elbo_train,reconstruction_loss_train,kl_local_train,elbo_validation,reconstruction_loss_validation,kl_local_validation,mean_1_lb,mean_1_ub,mean_2_lb,mean_2_ub,mean_1_point,mean_2_point,vars_1_lb,vars_1_ub,vars_2_lb,vars_2_ub,vars_1_point,vars_2_point,prsn_lb,prsn_ub,prsn_point,sprm_lb,sprm_ub,sprm_point
0,216.8243763446808,5.241892337799072,4.370151519775391,0.8717409372329712,5.192967414855957,4.389042377471924,0.8039252758026123,4.9131574630737305,5.000402498245239,4.903020024299622,4.982512497901917,4.9592485427856445,4.942290782928467,52.46600551605225,55.16511535644531,47.53214550018311,49.54480829238892,53.822410583496094,48.51921463012695,-0.0128223430830985,0.0061526821926236,-0.0026437096809968,-0.0516036221199142,-0.0256905554717087,-0.0384280234103468
1,204.89053320884705,5.257314682006836,4.379698276519775,0.8776161670684814,5.265772819519043,4.387630462646484,0.8781421184539795,4.84409499168396,4.9294675350189205,5.15519757270813,5.259000039100647,4.884523868560791,5.205780029296875,47.175470447540285,49.57318563461304,52.95686178207397,56.15518045425415,48.14863586425781,54.637508392333984,-0.0129030270734801,0.0028687473910395,-0.0048545716051012,-0.0636842191618707,-0.043649867428351,-0.0535026817493812
2,216.13980913162231,5.240598201751709,4.365765571594238,0.874832808971405,5.185238838195801,4.299076080322266,0.8861627578735352,5.007209932804107,5.112672281265259,4.88837764263153,4.96576771736145,5.059700012207031,4.928560733795166,51.3293960571289,54.42590990066528,50.343688583374025,53.014450263977054,52.94914627075195,51.73040390014648,-0.0415054873563349,-0.0244852294214069,-0.0337307361327111,-0.0974734986596206,-0.0736530103494794,-0.0858104789865958
3,195.4090976715088,5.259340763092041,4.392860889434815,0.866479754447937,5.268245220184326,4.410130500793457,0.8581147789955139,4.9366824388504025,5.028619968891144,4.952522671222686,5.059614872932434,4.982133388519287,5.007284641265869,47.13998031616211,49.69078092575073,51.15528469085693,53.8830906867981,48.32965469360352,52.55062484741211,-0.009093924309127,0.0110856402898207,-0.0001385349966585,-0.042917219344257,-0.0140358517844505,-0.0297562707376729
4,235.55905938148496,5.252209663391113,4.386638641357422,0.8655709624290466,5.238224029541016,4.339437007904053,0.8987868428230286,4.910437381267547,4.995687544345856,5.016397428512573,5.108725035190583,4.957705497741699,5.064825057983398,50.45067529678344,52.79566049575806,52.953705883026124,55.62463045120239,51.752079010009766,54.27303695678711,-0.0321452583186328,-0.0122556690825149,-0.0233416212256997,-0.0933368046767864,-0.0687517564533889,-0.0821840234934102
5,187.6553468704224,5.273064136505127,4.384974002838135,0.8880899548530579,5.206795692443848,4.319445610046387,0.8873498439788818,5.0677800416946415,5.169322371482849,4.908754885196686,4.99613995552063,5.112439155578613,4.9522809982299805,50.471105098724365,52.92500448226929,50.08075199127197,52.36111297607422,51.70784759521485,51.27558898925781,-0.0139966043643653,0.00448561537778,-0.005104946460342,-0.0510709607485929,-0.0298024634584785,-0.0407614217839433
6,171.5925989151001,5.243686676025391,4.3805084228515625,0.8631783127784729,5.2189249992370605,4.40388298034668,0.8150420784950256,4.81820011138916,4.9005950570106505,4.949102592468262,5.040975093841553,4.858987808227539,4.992021083831787,46.55376176834106,48.57352437973022,47.92095184326172,50.93725996017456,47.59488677978516,49.44057083129883,-0.0137397342361509,0.0079073466360568,-0.002712379155273,-0.0482749372536418,-0.0203967682984884,-0.034302322839261
7,189.83250665664676,5.265894412994385,4.396063804626465,0.8698307871818542,5.173762798309326,4.3259124755859375,0.8478503823280334,4.994637620449066,5.095049893856048,5.102022564411163,5.21021990776062,5.042716026306152,5.149774551391602,51.09382791519165,53.49166116714478,56.88621044158936,59.52747926712036,52.38864135742188,58.2904167175293,-0.0481869828887283,-0.0343522128649056,-0.0414468897134065,-0.0922231602724689,-0.0688019958437231,-0.0812036670804813
8,193.15941429138184,5.254104137420654,4.393764972686768,0.860339343547821,5.1311869621276855,4.309686183929443,0.8215006589889526,4.853904855251312,4.946130001544953,5.1035600185394285,5.200062620639801,4.893655300140381,5.155093193054199,47.50373258590698,49.78828144073486,51.42531232833862,53.95854034423828,48.63396835327149,52.719635009765625,-0.0304486729204654,-0.0123650352936238,-0.021626929398626,-0.0573015270984155,-0.0311624483969417,-0.0452144101155178
9,299.0682158470154,5.237387657165527,4.369365215301514,0.8680222034454346,5.184140205383301,4.339763164520264,0.8443769216537476,4.991055071353912,5.08376727104187,4.825312554836273,4.92802996635437,5.0362701416015625,4.875000953674316,49.5792070388794,52.03375539779663,47.99707345962524,50.97577791213989,50.77495193481445,49.43064880371094,-0.0071550089865922,0.0094778743339702,0.0005558301426935,-0.0671831589807629,-0.0443757178851598,-0.0578454865283944
