mean_1_point,mean_2_point,vars_1_point,vars_2_point,prsn_point,sprm_point
1.1452,1.2127,25.90391695999828,30.643458710002584,0.23733826301358021,0.2599087851309064
1.0941,1.1376,17.96344519000423,29.736066240000188,0.03877439466656632,0.10924480832084096
1.1515,1.1801,33.426347749990406,42.1440639900114,0.5062382834210659,0.23812786168227676
1.1544,1.1475,36.01776063998959,17.901543749998268,0.006892852287251858,0.04875446505477055
1.0938,1.1429,23.047201559995898,23.94147959000563,0.3679465562813815,0.23676370004336372
1.1364,1.0414,18.374995040000158,16.140886039998804,0.05871952574493024,0.11588042758056451
1.1274,1.0801,22.178169240000276,16.79588399000204,0.02521696623046215,0.04072571031594462
1.117,1.1836,22.428511000004196,30.469691039998324,-0.020648262278093587,-0.06938548056834394
1.0334,1.2416,19.487884440002365,71.74502943999457,0.11604982182901186,0.23705288956667991
1.0872,1.1513,14.67439615999943,22.465808309995897,0.1812484986206097,0.16362599140720416
1.1444,1.1971,25.933348640001704,33.623051589998205,0.04008741069845545,0.11045159752132376
1.1653,1.2154,26.165175910000595,83.42200284000559,-0.011913666848756862,-0.05777292982935904
1.1357,1.1588,15.338285510000272,25.032982559998366,-0.02967848485483536,-0.0524382179428977
1.1129,1.1971,17.231953589997506,22.31465158999901,0.2841990562764839,0.2210373829314485
1.0894,1.1647,29.14640764000158,40.449773910002115,0.06158468086224599,0.09753675015599508
1.1178,1.1059,21.263723159999945,14.666485190001803,0.2919773615942434,0.23066634045459045
1.1667,1.1586,30.42231111000224,34.21024604000178,0.1074328231258446,0.1879262515138205
1.0227,1.1819,14.186184709999285,24.55621238999917,-0.02915335096196227,-0.060577797586103356
1.1227,1.0647,30.880644709996652,17.636113909999466,0.034000173089667664,0.06782602250865491
1.1354,1.2969,22.660866839997922,363.69175038999526,0.24654920341126632,0.25383447923070707
1.126,1.1902,22.959923999998903,25.617623960004046,0.39371099259379627,0.25403014971703197
1.1467,1.1022,23.568379110000233,18.652755159998442,0.16925200513076585,0.23645083956291574
1.0695,1.089,12.742469750001844,13.656478999997807,0.06978814177307036,0.11412750898308753
1.1596,1.1704,35.36792783999689,32.30596384000051,0.26935167435028284,0.24446402909272316
1.222,1.1171,46.98091599999874,29.739187590002956,0.07422400431263844,0.15985957196279865
1.1678,1.0545,30.13744316000088,14.692929750000587,0.033947408375512356,0.05513499321852381
1.0827,1.1221,13.496860709998861,21.402791590000334,0.02378193667774229,0.050491728457453665
1.2753,1.1,46.12710990999314,20.355400000000945,0.021906817762934898,0.04899113721616786
1.0994,1.1346,17.484519639999107,18.79748283999703,0.1470298005738887,0.17688725314050427
1.086,1.0752,18.397804000000047,24.904744959996897,-0.022259169980319446,-0.04997514344175535
